u,x,dx,ddx
0,0,0,0
-0.0012,0,0,0
-0.00096,0,0,0
-0.00096,0,0,0
-0.00096,0,0,0
-0.00096,0,0,0
-0.00096,0,0,0
-0.00096,0,0,0
-0.00096,0,0,0
-0.00096,0,0,0
-0.00096,0,0,0
-0.00096,0,0,0
-0.00096,0,0,0
-0.00072,0,0,0
-0.00072,0,0,0
-0.00072,0,0,0
-0.00072,0,0,0
-0.00072,0,0,0
-0.00072,0,0,0
-0.00072,0,0,0
-0.00072,0,0,0
-0.00048,0,0,0
-0.00048,0,0,0
-0.00048,0,0,0
-0.00048,0,0,0
-0.00048,0,0,0
-0.00048,0,0,0
-0.00024,0,0,0
-0.00024,0,0,0
-0.00024,0,0,0
-0.00024,0,0,0
-0.00024,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.00024,0,0,0
0.00024,0,0,0
0.00024,0,0,0
0.00048,0,0,0
0.00048,0,0,0
0.00072,0,0,0
0.00096,0,0,0
0.00096,0,0,0
0.0012,0,0,0
0.00144,0,0,0
0.00144,0,0,0
0.00168,0,0,0
0.00192,0,0,0
0.00216,0,0,0
0.0024,0,0,0
0.00264,0,0,0
0.00312,0,0,0
0.00336,0,0,0
0.0036,0,0,0
0.00408,0,0,0
0.00432,0,0,0
0.0048,0,0,0
0.00528,0,0,0
0.00576,0,0,0
0.00624,0,0,0
0.00672,0,0,0
0.0072,0,0,0
0.00768,0,0,0
0.00816,0,0,0
0.00888,0,0,0
0.00936,0,0,0
0.01008,0,0,0
0.0108,0,0,0
0.01152,0,0,0
0.01224,0,0,0
0.01296,0,0,0
0.01392,0,0,0
0.01464,0,0,0
0.0156,0,0,0
0.0168,0,0,0
0.01776,0,0,0
0.01896,0,0,0
0.02016,0,0,0
0.02136,0,0,0
0.02256,0,0,0
0.024,0,0,0
0.0252,0,0,0
0.02664,0,0,0
0.02808,0,0,0
0.02976,0,0,0
0.03144,0,0,0
0.03312,0,0,0
0.03456,0,0,0
0.03624,0,0,0
0.03816,0,0,0
0.04008,0,0,0
0.042,0,0,0
0.04416,0,0,0
0.04608,0,0,0
0.04824,0,0,0
0.0504,0,0,0
0.0528,0,0,0
0.0552,0,0,0
0.0576,0,0,0
0.05976,0,0,0
0.0624,0,0,0
0.06504,0,0,0
0.06768,0,0,0
0.07032,0,0,0
0.07296,0,0,0
0.07584,0,0,0
0.07896,0,0,0
0.08184,0,0,0
0.08496,0,0,0
0.08808,0,0,0
0.09144,0,0,0
0.0948,0,0,0
0.09816,0,0,0
0.10176,0,0,0
0.10536,0,0,0
0.10896,0,0,0
0.1128,0,0,0
0.11664,0,0,0
0.12048,0,0,0
0.12456,0,0,0
0.12864,0,0,0
0.13272,0,0,0
0.13728,0,0,0
0.1416,0,0,0
0.14616,0,0,0
0.15072,0,0,0
0.15552,0,0,0
0.16032,0,0,0
0.16536,0,0,0
0.17016,0,0,0
0.17544,0.004,0.4,40
0.17944,0.004,0.359786,31.9571
0.1848,0.004,0.323616,25.1275
0.190393,0.004,0.291082,19.348
0.195738,0.004,0.261821,14.4769
0.201556,0.004,0.235499,10.3893
0.207129,0.004,0.211825,6.97742
0.213176,0.004,0.19053,4.1465
0.218979,0.004,0.171376,1.81421
0.225017,0.004,0.154146,-0.0911332
0.231052,0.004,0.13865,-1.63158
0.237323,0.004,0.124712,-2.86137
0.243591,0.004,0.112176,-3.82737
0.250096,0.004,0.100898,-4.57037
