u,x,dx,ddx
0,0,0,0
0.01584,0,0,0
0.01692,0,0,0
0.018,0,0,0
0.01908,0,0,0
0.02016,0,0,0
0.0216,0,0,0
0.02268,0,0,0
0.02412,0,0,0
0.0252,0,0,0
0.02664,0,0,0
0.02808,0,0,0
0.02952,0,0,0
0.03096,0,0,0
0.0324,0,0,0
0.03384,0,0,0
0.03564,0,0,0
0.03708,0,0,0
0.03888,0,0,0
0.04068,0,0,0
0.04248,0,0,0
0.04392,0,0,0
0.04572,0,0,0
0.04752,0,0,0
0.04968,0,0,0
0.05148,0,0,0
0.05364,0,0,0
0.0558,0,0,0
0.0576,0,0,0
0.05976,0,0,0
0.06192,0,0,0
0.06408,0,0,0
0.0666,0,0,0
0.06876,0,0,0
0.07128,0,0,0
0.0738,0,0,0
0.07632,0,0,0
0.07848,0,0,0
0.081,0,0,0
0.08352,0,0,0
0.0864,0,0,0
0.08892,0,0,0
0.0918,0,0,0
0.09468,0,0,0
0.09756,0,0,0
0.10044,0,0,0
0.10332,0,0,0
0.10656,0,0,0
0.1098,0,0,0
0.11304,0,0,0
0.11628,0,0,0
0.11952,0,0,0
0.12276,0,0,0
0.12636,0,0,0
0.12996,0,0,0
0.13356,0,0,0
0.13716,0,0,0
0.14076,0,0,0
0.14472,0,0,0
0.14868,0,0,0
0.15228,0,0,0
0.15624,0,0,0
0.16056,0,0,0
0.16452,0,0,0
0.16884,0,0,0
0.17316,0,0,0
0.17748,0,0,0
0.1818,0,0,0
0.18648,0,0,0
0.19116,0,0,0
0.19584,0,0,0
0.20052,0,0,0
0.20556,0,0,0
0.21024,0,0,0
0.21528,0,0,0
0.22068,0,0,0
0.22608,0,0,0
0.23148,0,0,0
0.23688,0,0,0
0.24264,0,0,0
0.24804,0,0,0
0.25416,0,0,0
0.25992,0,0,0
0.26604,0,0,0
0.27216,0,0,0
0.27864,0,0,0
0.28512,0,0,0
0.2916,0,0,0
0.29844,0,0,0
0.30528,0,0,0
0.31248,0,0,0
0.31968,0,0,0
0.32724,0,0,0
0.3348,0,0,0
0.34236,0,0,0
0.35028,0,0,0
0.35856,0,0,0
0.36684,0,0,0
0.37548,0,0,0
0.38412,0,0,0
0.39312,0,0,0
0.40212,0,0,0
0.41148,0,0,0
0.42084,0,0,0
0.43056,0,0,0
0.44064,0,0,0
0.45072,0,0,0
0.46116,0,0,0
0.4716,0,0,0
0.4824,0,0,0
0.49356,0,0,0
0.50472,0,0,0
0.51588,0,0,0
0.52776,0,0,0
0.53964,0,0,0
0.55188,0,0,0
0.56448,0,0,0
0.57672,0,0,0
0.58968,0,0,0
0.60264,0,0,0
0.61632,0,0,0
0.62964,0,0,0
0.64332,0,0,0
0.65736,0,0,0
0.67176,0,0,0
0.68616,0,0,0
0.70092,0,0,0
0.71604,0,0,0
0.73116,0,0,0
0.74664,0.004,0.4,40
0.75892,0.004,0.359785,31.9571
0.775442,0.004,0.323617,25.1276
0.791931,0.004,0.291083,19.3481
0.808751,0.004,0.261822,14.477
0.825905,0.004,0.235499,10.3893
0.843396,0.004,0.211824,6.97739
0.860865,0.004,0.190529,4.14642
0.879036,0.004,0.171376,1.81431
0.897189,0.004,0.154147,-0.0909968
0.915687,0.004,0.138651,-1.63149
0.934531,0.004,0.124712,-2.86134
0.953722,0.004,0.112175,-3.82744
0.973263,0.004,0.100897,-4.57041
0.993153,0.004,0.090754,-5.12525
1.01303,0.004,0.0816307,-5.52235
1.03363,0.008,0.473425,34.2122
1.05065,0.008,0.425828,26.0129
1.07191,0.008,0.38302,19.117
1.0935,0.008,0.344515,13.3448
1.1154,0.008,0.309883,8.54005
1.13764,0.008,0.278724,4.56539
1.15985,0.012,0.650702,41.3042
1.17919,0.012,0.585287,30.6104
1.20276,0.012,0.526451,21.6497
1.22627,0.012,0.473521,14.1801
1.25009,0.016,0.825917,47.9941
1.27103,0.016,0.742888,34.8663
1.29582,0.016,0.668212,23.8939
1.32089,0.02,1.00102,54.772
1.34271,0.02,0.900389,39.2029
1.36872,0.024,1.20987,66.2101
1.39144,0.024,1.08825,47.3921
1.41797,0.028,1.37885,71.6876
1.44121,0.028,1.24023,50.6187
1.46896,0.032,1.51555,73.0627
1.49304,0.036,1.7632,90.4821
1.51769,0.036,1.58593,63.6591
1.54611,0.04,1.8265,81.3167
1.57155,0.044,2.0429,94.7815
1.59718,0.048,2.23752,104.716
1.62334,0.052,2.41256,111.692
1.65002,0.056,2.57004,116.212
